"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","has title","Mobile Safari","Sun Feb 02 21:22:31 IST 2025","failed","Sun Feb 02 21:22:31 IST 2025","","example.spec.js","",""
"","37","get started link","webkit","Sun Feb 02 21:22:29 IST 2025","failed","Sun Feb 02 21:22:29 IST 2025","","example.spec.js","",""
"","32","get started link","Mobile Chrome","Sun Feb 02 21:22:30 IST 2025","failed","Sun Feb 02 21:22:30 IST 2025","","example.spec.js","",""
"","27","has title","webkit","Sun Feb 02 21:22:29 IST 2025","failed","Sun Feb 02 21:22:29 IST 2025","","example.spec.js","",""
"","1537","get started link","Google Chrome","Sun Feb 02 21:22:36 IST 2025","passed","Sun Feb 02 21:22:37 IST 2025","","example.spec.js","",""
"","28","has title","firefox","Sun Feb 02 21:22:28 IST 2025","failed","Sun Feb 02 21:22:28 IST 2025","","example.spec.js","",""
"","29","get started link","firefox","Sun Feb 02 21:22:28 IST 2025","failed","Sun Feb 02 21:22:29 IST 2025","","example.spec.js","",""
"","39","get started link","Mobile Safari","Sun Feb 02 21:22:31 IST 2025","failed","Sun Feb 02 21:22:31 IST 2025","","example.spec.js","",""
"","29","get started link","chromium","Sun Feb 02 21:22:28 IST 2025","failed","Sun Feb 02 21:22:28 IST 2025","","example.spec.js","",""
"","35","has title","Mobile Chrome","Sun Feb 02 21:22:30 IST 2025","failed","Sun Feb 02 21:22:30 IST 2025","","example.spec.js","",""
"","1426","has title","Google Chrome","Sun Feb 02 21:22:35 IST 2025","passed","Sun Feb 02 21:22:37 IST 2025","","example.spec.js","",""
"","1132","has title","Microsoft Edge","Sun Feb 02 21:22:32 IST 2025","passed","Sun Feb 02 21:22:33 IST 2025","","example.spec.js","",""
"","23","has title","chromium","Sun Feb 02 21:22:28 IST 2025","failed","Sun Feb 02 21:22:28 IST 2025","","example.spec.js","",""
"","1633","get started link","Microsoft Edge","Sun Feb 02 21:22:32 IST 2025","passed","Sun Feb 02 21:22:34 IST 2025","","example.spec.js","",""
